,ProductID,PriceReg,DayoftheYear,ItemCount
0,4,44.99,94,8
1,2,24.81,97,39
2,2,46.0,258,34
3,3,100.0,184,20
4,1,121.95,345,28
5,4,132.0,188,33
6,1,95.95,301,33
7,3,207.8,283,57
8,3,119.81,365,36
9,5,49.95,211,19
10,2,36.95,178,21
11,3,55.95,114,16
12,2,104.99,187,15
13,5,0.0,124,26
14,3,129.95,104,22
15,4,64.95,277,12
16,4,120.39,17,69
17,5,126.2,355,33
18,2,167.75,246,20
19,3,94.6,40,33
20,4,53.95,290,37
21,2,399.95,345,34
22,2,42.95,236,23
23,2,97.95,22,34
24,4,0.0,206,22
25,2,98.95,129,67
26,3,177.95,306,52
27,4,51.95,248,46
28,1,70.95,87,47
29,4,50.0,254,14
30,2,46.75,336,38
31,5,44.95,68,85
32,3,168.25,346,69
33,2,224.95,148,22
34,2,77.95,365,39
35,1,74.95,197,20
36,4,123.95,204,33
37,5,215.31,308,73
38,3,106.67,245,23
39,1,69.95,86,68
40,4,65.25,200,30
41,3,125.0,41,35
42,3,33.95,189,11
43,5,160.0,97,23
44,1,52.95,221,45
45,4,30.95,325,70
46,2,43.78,44,32
47,3,71.95,59,19
48,5,72.45,348,25
49,1,26.5,263,68
50,5,52.25,264,37
51,4,120.67,256,58
52,4,29.0,228,18
53,2,0.0,222,20
54,1,130.75,83,18
55,3,75.33,355,29
56,2,41.75,256,35
57,3,51.95,10,16
58,1,130.0,181,18
59,2,40.95,330,28
60,2,140.95,62,31
61,3,104.95,11,27
62,5,199.95,77,41
63,4,29.5,245,23
64,3,173.0,331,20
65,2,69.95,30,18
66,4,24.38,194,73
67,4,112.5,38,98
68,3,54.8,11,32
69,4,97.35,317,36
70,4,54.95,109,36
71,4,49.0,361,21
72,5,125.0,232,91
73,2,159.95,349,26
74,2,9.56,306,76
75,5,45.0,102,29
76,1,115.0,99,25
77,3,20.5,148,52
78,2,0.0,337,22
79,2,208.67,269,26
80,3,0.0,83,33
81,3,87.56,295,32
82,3,53.95,179,15
83,4,85.95,126,22
84,4,41.0,152,24
85,5,21.25,148,34
86,5,62.0,336,38
87,1,90.0,147,19
88,5,151.88,248,24
89,3,98.03,242,41
90,5,131.35,160,54
91,3,88.29,109,54
92,4,67.91,8,25
93,4,39.97,40,46
94,4,147.0,130,38
95,1,168.5,263,26
96,4,149.99,39,66
97,5,22.78,311,51
98,3,35.39,252,22
99,4,137.0,229,35
100,5,0.0,184,19
101,1,0.0,72,17
102,4,98.0,184,20
103,5,236.58,250,24
104,5,38.98,278,16
105,3,40.1,117,20
106,1,25.98,286,20
107,1,102.0,33,24
108,2,0.0,289,22
109,5,105.0,17,28
110,1,141.33,203,35
111,3,249.07,122,30
112,4,33.0,70,87
113,3,191.2,127,42
114,5,89.95,186,60
115,1,205.6,310,51
116,2,9.98,42,38
117,5,147.73,162,36
118,5,22.41,148,5
119,1,146.27,332,16
120,5,207.6,103,25
121,1,41.0,257,22
122,3,79.8,106,65
123,3,127.0,174,36
124,5,57.55,89,19
125,2,57.4,310,119
126,1,138.6,81,21
127,1,83.8,4,28
128,2,72.5,76,35
129,5,67.4,200,21
130,4,187.53,44,24
131,5,187.53,221,29
132,4,44.11,246,31
133,5,214.0,74,37
134,3,59.0,300,33
135,4,52.95,335,36
136,5,43.95,34,36
137,5,42.86,92,44
138,2,244.5,61,22
139,3,0.0,24,32
140,3,41.99,239,18
141,1,114.95,56,13
142,4,0.0,272,14
143,3,447.95,339,16
144,4,57.0,265,15
145,3,125.95,283,32
146,2,123.95,48,46
147,4,21.95,158,30
148,5,42.0,285,27
149,2,14.99,305,17
150,2,37.0,231,82
151,4,9.53,74,43
152,1,243.25,267,30
153,4,39.95,47,18
154,4,0.0,183,18
155,3,134.95,74,17
156,2,159.95,261,12
157,1,114.95,238,32
158,2,317.25,51,64
159,4,83.07,14,27
160,4,274.75,71,108
161,4,0.0,32,26
162,1,142.25,125,32
163,1,259.95,46,19
164,3,156.95,100,39
165,3,91.95,181,20
166,1,165.95,361,27
167,4,119.14,288,35
168,3,160.95,158,58
169,5,236.95,6,22
170,5,207.95,208,46
171,2,182.95,326,22
172,3,134.95,274,16
173,4,175.95,15,54
174,1,118.95,320,26
175,1,53.95,59,21
176,2,39.99,93,15
177,1,338.95,95,12
178,2,120.0,230,23
179,4,47.95,300,47
180,3,162.95,53,24
181,5,64.95,6,51
182,3,0.0,334,14
183,5,52.0,260,43
184,5,37.99,314,119
185,2,0.0,343,14
186,4,192.0,314,24
187,4,241.95,205,16
188,1,94.95,172,20
189,3,47.0,166,70
190,4,114.35,73,19
191,2,109.67,65,25
192,4,53.0,337,18
193,1,102.59,328,29
194,4,89.95,206,70
195,2,125.7,302,13
196,4,38.94,325,54
197,1,7.99,63,40
198,3,114.95,122,75
199,3,172.95,363,46
200,3,91.95,292,39
201,5,176.95,268,25
202,5,68.25,11,23
203,1,95.8,243,43
204,2,108.6,66,30
205,4,64.95,8,17
206,5,55.95,13,43
207,5,26.99,362,35
208,2,115.95,169,32
209,2,63.95,154,21
210,4,55.95,256,41
211,4,32.97,155,34
212,4,58.95,325,31
213,4,88.0,352,13
214,3,68.89,160,26
215,1,42.96,14,12
216,1,13.28,7,32
217,3,170.25,33,59
218,3,39.96,17,20
219,4,34.6,170,61
220,3,54.99,49,33
221,2,133.4,155,24
222,4,4.0,239,55
223,2,0.0,10,34
224,3,49.01,180,75
225,2,75.0,350,34
226,5,133.29,69,50
